date,id,entry_number,name,country,biko,image_url,rank,point
2025-09-01,4308,21,たじにゃん,兵庫県,但馬エコツール,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTQyNTUsInB1ciI6ImJsb2JfaWQifX0=--34783aeae6435ebbdf6dd9978c7956e08b04ba44/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJQTkciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--e330fa191b54c1c7e6cbe78f181e4a6c202bf890/3Dtajinyan.PNG,194,210
2025-09-01,2867,22,しきっしー,福岡県,株式会社フェイスロック,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDY4NjUsInB1ciI6ImJsb2JfaWQifX0=--11163f8f9a0665728194ee628e3550554404ad39/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003199.jpg,161,362
2025-09-01,4309,23,城希（きき）,大阪府,城南学園中学校高等学校,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDgzMzYsInB1ciI6ImJsb2JfaWQifX0=--de06db34f130c5aef4f98c2ed6d8ec8247aca1a0/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/%E5%9F%8E%E5%B8%8C%E3%82%86%E3%82%8B%E3%83%90%E3%83%BC%E3%82%B9%E5%86%99%E7%9C%9F.jpg,90,1138
2025-09-01,3164,24,ゴリすけ,三重県,LITTLE FOREST,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDcxNDcsInB1ciI6ImJsb2JfaWQifX0=--b329bd9b32e1dd9e17e66b79e6334c59597f0fc4/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003530.jpg,207,157
2025-09-01,3433,25,おとどちゃん,高知県,桂浜水族館,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc0MTYsInB1ciI6ImJsb2JfaWQifX0=--48741fe213bf68827e7c421c1715d2657ee03966/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003838.jpg,211,143
2025-09-01,3274,26,しかたん,岡山県,岡山大学文明動態学研究所,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDcyNTcsInB1ciI6ImJsb2JfaWQifX0=--c60992e5c07a104532d138d7c1c1b7ecfb1ed36f/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003653.jpg,193,213
2025-09-01,2496,27,たまーりん,埼玉県,さいたまスーパーアリーナ,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDY1MDYsInB1ciI6ImJsb2JfaWQifX0=--870deeb692ecd9c80737d476a0e6db6e267ccdce/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00002747.jpg,169,321
2025-09-01,3602,28,なとみん,奈良県,奈良学園登美ヶ丘,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc1ODUsInB1ciI6ImJsb2JfaWQifX0=--44d662706d3de4295150f255df41cc03fac1984c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00004031.jpg,117,723
2025-09-01,2012,29,らくまる,福井県,武生楽市,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDYwMjIsInB1ciI6ImJsb2JfaWQifX0=--aedf92519f794ebb6f021a7d6c9b82e0b2d1a54c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJQTkciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--e330fa191b54c1c7e6cbe78f181e4a6c202bf890/%E3%82%89%E3%81%8F%E3%81%BE%E3%82%8B.PNG,240,79
2025-09-01,1559,30,ココラちゃん,滋賀県,甲良町観光協会,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDU1NjksInB1ciI6ImJsb2JfaWQifX0=--e104d4ee3d46a768d2eaf7c63ec4b4a4712b95ff/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00001722.jpg,287,10
2025-09-01,3718,31,はんくろう,静岡県,一般社団法人とおとうみ,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc3MDEsInB1ciI6ImJsb2JfaWQifX0=--91866dcd261ab32c0cc2a2b2ecde102a9c97afb5/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00004163.jpg,263,34
2025-09-01,3867,32,いっぷく先生,北海道,株式会社ナカジマ薬局,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc4NDksInB1ciI6ImJsb2JfaWQifX0=--dcdcf779a849fb29b7855ab343ccbdfd209bc6be/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003945.jpg,70,1384
2025-09-01,3952,33,ブルくん・ミケちゃん,奈良県,近鉄生駒ケーブル,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc5MzQsInB1ciI6ImJsb2JfaWQifX0=--b29e34fbe09eb8e98f2a8cd010a8fdab1af86fbf/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--ec7b053d2ff6d48ed7cd0592d7a29adbd2668822/00006548.png,163,357
2025-09-01,3518,34,お風呂シカ フロロ,奈良県,奈良健康ランド 奈良プラザホテル,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDc1MDEsInB1ciI6ImJsb2JfaWQifX0=--99ae732c8d73a1c8bdc6984f1ea70ebd53bfc3cb/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00003933.jpg,162,360
2025-09-01,4310,35,芸者ちゃん,東京都,大塚三業通り商店街,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDgzMzMsInB1ciI6ImJsb2JfaWQifX0=--cceb680dd8ebb38b2a442f49f6d80e0679d7b76b/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/%E8%8A%B8%E8%80%85%E3%81%A1%E3%82%83%E3%82%93%E3%80%80%E7%B8%A6.jpg,147,461
2025-09-01,1731,36,ティーナ,三重県,三重県度会町,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NDU3NDEsInB1ciI6ImJsb2JfaWQifX0=--e53162915a2a44f3f8825098ed239316e4389160/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/00001912.jpg,226,110
2025-09-01,4311,37,みやねこ,宮崎県,宮崎市,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTQzNDksInB1ciI6ImJsb2JfaWQifX0=--7fc3b71ffb5e4484aedc70c8129b773b69bfe2f7/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/miyaneko.jpg,106,842
2025-09-01,4312,38,玉ちゃん,埼玉県,昭和レトロな温泉銭湯 玉川温泉,https://www.yurugp.jp/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NTUwMDYsInB1ciI6ImJsb2JfaWQifX0=--7ee2e56dc1543b3f7fff6a9a66902bc2f81599a2/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fbGltaXQiOls0MDAsNDAwXX0sInB1ciI6InZhcmlhdGlvbiJ9fQ==--497501df8a7af5ff51029fe3c7021b9d1da0f9c9/tama_senzai_2507-046.jpg,142,503
