date,id,kind,entry_number,name,country,biko,image_url,rank,point
2020-07-08,00002202,LOCAL,91,こまかっぱ,長野県,長野県駒ヶ根市,https://www.yurugp.jp/img/uploads/character/200/00002202.jpg,117,151
2020-07-08,00001428,LOCAL,92,シャカメくん,東京都,亀戸花まつり実行委員会,https://www.yurugp.jp/img/uploads/character/200/00001428.jpg,344,12
2020-07-08,00000909,COMPANY,93,いっちー,岡山県,農マル園芸,https://www.yurugp.jp/img/uploads/character/200/00000909.jpg,208,34
2020-07-08,00002395,COMPANY,94,せりちゃん,大阪府,大阪府中央卸売市場管理センター株式会社,https://www.yurugp.jp/img/uploads/character/200/00002395.jpg,260,5
2020-07-08,00001953,LOCAL,95,ねじり ほんにょ,宮城県,宮城県　栗原市,https://www.yurugp.jp/img/uploads/character/200/00001953.jpg,54,390
2020-07-08,00003770,LOCAL,96,くらわんこ　ひらにゃんこ,大阪府,特定非営利活動法人　枚方文化観光協会,https://www.yurugp.jp/img/uploads/character/200/00003770.jpg,72,255
2020-07-08,00001222,LOCAL,97,おわんさん,石川県,おわんさん 製作委員会,https://www.yurugp.jp/img/uploads/character/200/00001222.jpg,331,14
2020-07-08,00002573,COMPANY,98,コクオー＆ジョーオーシルク,大阪府,株式会社コクミン,https://www.yurugp.jp/img/uploads/character/200/00002573.jpg,163,78
2020-07-08,00000188,COMPANY,99,うめサブロー,埼玉県,フラワーラジオ（ＦＭこうのす）,https://www.yurugp.jp/img/uploads/character/200/00000188.jpg,127,146
2020-07-08,00003911,COMPANY,100,みなみーな,京都府,南座,https://www.yurugp.jp/img/uploads/character/200/00003911.jpg,80,304
2020-07-08,00001478,LOCAL,101,らべとん,北海道,（一社）かみふらの十勝岳観光協会,https://www.yurugp.jp/img/uploads/character/200/00001478.jpg,241,43
2020-07-08,00003788,COMPANY,102,キューちゃん,北海道,株式会社クリエイティブオフィスキュー,https://www.yurugp.jp/img/uploads/character/200/00003788.jpg,19,1526
2020-07-08,00000467,LOCAL,103,江南市マスコットキャラクター藤花ちゃん,愛知県,江南市,https://www.yurugp.jp/img/uploads/character/200/00000467.jpg,95,195
2020-07-08,00003185,COMPANY,104,つらいにゃん,愛媛県,長高水族館,https://www.yurugp.jp/img/uploads/character/200/00003185.jpg,208,34
2020-07-08,00004120,COMPANY,105,わっしーくん,北海道,株式会社正栄プロジェクト,https://www.yurugp.jp/img/uploads/character/200/00004120.jpg,196,45
2020-07-08,00003834,COMPANY,106,やまやん,熊本県,有限会社やま弥,https://www.yurugp.jp/img/uploads/character/200/00003834.jpg,144,107
2020-07-08,00001074,LOCAL,107,かんぷうくん,山口県,平生町観光協会,https://www.yurugp.jp/img/uploads/character/200/00001074.jpg,260,35
2020-07-08,00002788,LOCAL,108,花田舞太郎,広島県,北広島観光プロモーション実行委員会（北広島町商工観光課）,https://www.yurugp.jp/img/uploads/character/200/00002788.jpg,52,414
2020-07-08,00002143,COMPANY,109,あおいろソーラ,岡山県,デイサービスセンター　あおいろのそら,https://www.yurugp.jp/img/uploads/character/200/00002143.jpg,257,6
2020-07-08,00001179,COMPANY,110,しょもたん,神奈川県,湘南モノレール株式会社,https://www.yurugp.jp/img/uploads/character/200/00001179.jpg,181,63
2020-07-08,00002968,COMPANY,111,カマトリちゃん,千葉県,鎌取カルチャーセンター,https://www.yurugp.jp/img/uploads/character/200/00002968.jpg,260,5
2020-07-08,00002669,COMPANY,112,ひのきちゃん,千葉県,郡建設株式会社,https://www.yurugp.jp/img/uploads/character/200/00002669.jpg,79,308
